Freq Spl Phase
20.5078 57.819 0.0
21.9727 59.823 0.0
23.4375 61.839 0.0
24.9023 63.108 0.0
26.3672 64.897 0.0
27.832 66.84 0.0
29.2969 68.694 0.0
30.7617 70.421 0.0
32.2266 72.14 0.0
33.6914 73.872 0.0
35.1562 75.485 0.0
36.6211 76.693 0.0
38.0859 77.992 0.0
39.5508 79.164 0.0
41.0156 80.239 0.0
42.4805 81.212 0.0
43.9453 82.046 0.0
45.4102 82.714 0.0
46.875 83.14 0.0
48.3398 83.512 0.0
51.2695 83.935 0.0
52.7344 84.049 0.0
54.1992 84.132 0.0
55.6641 84.204 0.0
58.5938 84.33 0.0
60.0586 84.398 0.0
62.9883 84.509 0.0
64.4531 84.554 0.0
67.3828 84.655 0.0
68.8477 84.725 0.0
71.7773 84.898 0.0
74.707 85.096 0.0
77.6367 85.287 0.0
79.1016 85.394 0.0
82.0312 85.611 0.0
84.9609 85.823 0.0
87.8906 86.009 0.0
90.8203 86.199 0.0
95.2148 86.45 0.0
98.1445 86.585 0.0
101.074 86.716 0.0
105.469 86.871 0.0
108.398 86.944 0.0
112.793 87.031 0.0
117.188 87.085 0.0
120.117 87.109 0.0
124.512 87.144 0.0
125.0 84.1449 0.0
128.0 84.3124 0.0
132.0 84.5267 0.0
136.0 84.7312 0.0
140.0 84.92609999999999 0.0
145.0 85.1562 0.0
150.0 85.3726 0.0
155.0 85.576 0.0
160.0 85.767 0.0
165.0 85.9462 0.0
170.0 86.1137 0.0
175.0 86.2699 0.0
180.0 86.4154 0.0
185.0 86.5512 0.0
190.0 86.6776 0.0
195.0 86.79520000000001 0.0
200.0 86.9041 0.0
206.0 87.024 0.0
212.0 87.133 0.0
218.0 87.2317 0.0
224.0 87.321 0.0
230.0 87.4013 0.0
236.0 87.4733 0.0
243.0 87.5477 0.0
250.0 87.6127 0.0
258.0 87.6767 0.0
265.0 87.7242 0.0
272.0 87.7643 0.0
280.0 87.8022 0.0
290.0 87.8391 0.0
300.0 87.8659 0.0
307.0 87.8789 0.0
315.0 87.888 0.0
325.0 87.8922 0.0
335.0 87.8887 0.0
345.0 87.87780000000001 0.0
355.0 87.8596 0.0
365.0 87.8342 0.0
375.0 87.80160000000001 0.0
387.0 87.7524 0.0
400.0 87.6871 0.0
412.0 87.6153 0.0
425.0 87.5249 0.0
437.0 87.4298 0.0
450.0 87.3143 0.0
462.0 87.1969 0.0
475.0 87.0587 0.0
487.0 86.9226 0.0
